round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,local_epochs,seed
1,2.3077149311065672,0.0979,0.021649822421351224,0.4934059111111111,0.2219,84443600,84443600,3387.230189561844,25,cifar10,label,0.1,5,45
2,2.1491201614379882,0.2219,0.11963977454666788,0.812324688888889,0.3843,84443600,168887200,3387.230189561844,25,cifar10,label,0.1,5,45
3,1.767815177154541,0.3843,0.32405763544813115,0.8678870833333333,0.4082,84443600,253330800,3387.230189561844,25,cifar10,label,0.1,5,45
4,1.578205837059021,0.4082,0.36003364464949145,0.8857519444444444,0.4684,84443600,337774400,3387.230189561844,25,cifar10,label,0.1,5,45
5,1.4346919370651245,0.4684,0.43811644550372425,0.8982813999999999,0.4896,84443600,422218000,3387.230189561844,25,cifar10,label,0.1,5,45
6,1.3728888320922852,0.4896,0.46475918796857113,0.9038651888888888,0.5157,84443600,506661600,3387.230189561844,25,cifar10,label,0.1,5,45
7,1.3078441608428955,0.5157,0.4993023640955652,0.9089124777777776,0.535,84443600,591105200,3387.230189561844,25,cifar10,label,0.1,5,45
8,1.2753087741851807,0.535,0.5230805802207692,0.9126959555555555,0.548,84443600,675548800,3387.230189561844,25,cifar10,label,0.1,5,45
9,1.2708349306106568,0.548,0.5383292158036024,0.9140501833333333,0.5544,84443600,759992400,3387.230189561844,25,cifar10,label,0.1,5,45
10,1.287216665840149,0.5544,0.5467010035124427,0.914631638888889,0.5638,84443600,844436000,3387.230189561844,25,cifar10,label,0.1,5,45
11,1.2860970808029175,0.5638,0.5571641079993767,0.9160631222222222,0.5684,84443600,928879600,3387.230189561844,25,cifar10,label,0.1,5,45
12,1.3131678197860719,0.5684,0.5614609679520404,0.9162524888888889,0.5728,84443600,1013323200,3387.230189561844,25,cifar10,label,0.1,5,45
13,1.3179298385620117,0.5728,0.5673357658181402,0.9174612111111109,0.5746,84443600,1097766800,3387.230189561844,25,cifar10,label,0.1,5,45
14,1.3610951316833495,0.5746,0.5682515059881735,0.9171346166666666,0.5735,84443600,1182210400,3387.230189561844,25,cifar10,label,0.1,5,45
15,1.4373897899627686,0.5735,0.5655123048679365,0.9160597111111111,0.5756,84443600,1266654000,3387.230189561844,25,cifar10,label,0.1,5,45
16,1.399773337173462,0.5756,0.568872179159942,0.9166561055555557,0.574,84443600,1351097600,3387.230189561844,25,cifar10,label,0.1,5,45
17,1.4680020223617554,0.574,0.5666379612962408,0.9163909666666668,0.5747,84443600,1435541200,3387.230189561844,25,cifar10,label,0.1,5,45
18,1.4999693592071532,0.5747,0.5684055309835518,0.9165366444444445,0.5783,84443600,1519984800,3387.230189561844,25,cifar10,label,0.1,5,45
19,1.529141460800171,0.5783,0.5712415044663068,0.9170341722222222,0.5807,84443600,1604428400,3387.230189561844,25,cifar10,label,0.1,5,45
20,1.593118585395813,0.5807,0.5733652570686385,0.9178486722222223,0.58,84443600,1688872000,3387.230189561844,25,cifar10,label,0.1,5,45
21,1.5848284692764283,0.58,0.5740461789039921,0.9168276222222224,0.5824,84443600,1773315600,3387.230189561844,25,cifar10,label,0.1,5,45
22,1.6247349349975586,0.5824,0.5757544695536556,0.9176320944444445,0.5788,84443600,1857759200,3387.230189561844,25,cifar10,label,0.1,5,45
23,1.6468684616088867,0.5788,0.5727272015398477,0.9167637,0.5788,84443600,1942202800,3387.230189561844,25,cifar10,label,0.1,5,45
24,1.6918022611618042,0.5788,0.5703453135716644,0.9164173444444443,0.5817,84443600,2026646400,3387.230189561844,25,cifar10,label,0.1,5,45
25,1.6926785892486573,0.5817,0.5741569341306968,0.9170937444444445,0.58,84443600,2111090000,3387.230189561844,25,cifar10,label,0.1,5,45
26,1.734543893814087,0.58,0.5725561228241783,0.9160816888888889,0.5796,84443600,2195533600,3387.230189561844,25,cifar10,label,0.1,5,45
27,1.7456698509216309,0.5796,0.5735177803661433,0.9165182555555555,0.576,84443600,2279977200,3387.230189561844,25,cifar10,label,0.1,5,45
28,1.7906518787384034,0.576,0.5693529148935567,0.9156593166666667,0.5815,84443600,2364420800,3387.230189561844,25,cifar10,label,0.1,5,45
29,1.8029077285766602,0.5815,0.5752012647396623,0.9167497666666666,0.5763,84443600,2448864400,3387.230189561844,25,cifar10,label,0.1,5,45
30,1.8628208316802979,0.5763,0.568817628277619,0.9156074833333333,0.582,84443600,2533308000,3387.230189561844,25,cifar10,label,0.1,5,45
