round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,local_epochs,seed
1,2.301845955276489,0.0893,0.04861367622650547,0.5350526888888889,0.4876,118221040,118221040,3920.6570653915405,35,cifar10,quantity,0.1,10,44
2,1.391744667816162,0.4876,0.474730449611336,0.9037972,0.6158,118221040,236442080,3920.6570653915405,35,cifar10,quantity,0.1,10,44
3,1.1859599597930908,0.6158,0.6130462192754675,0.9297077833333335,0.6357,118221040,354663120,3920.6570653915405,35,cifar10,quantity,0.1,10,44
4,1.4054387954711913,0.6357,0.6327060358007426,0.9328546277777777,0.642,118221040,472884160,3920.6570653915405,35,cifar10,quantity,0.1,10,44
5,1.6134097839355468,0.642,0.641164863009315,0.9333452055555556,0.6475,118221040,591105200,3920.6570653915405,35,cifar10,quantity,0.1,10,44
6,1.8132648262023925,0.6475,0.6444449299853993,0.9342907222222223,0.6456,118221040,709326240,3920.6570653915405,35,cifar10,quantity,0.1,10,44
7,1.8637222835540772,0.6456,0.6435333222903883,0.9339116666666667,0.6466,118221040,827547280,3920.6570653915405,35,cifar10,quantity,0.1,10,44
8,2.07263853187561,0.6466,0.644463199173541,0.9343175888888888,0.6413,118221040,945768320,3920.6570653915405,35,cifar10,quantity,0.1,10,44
9,2.111307551956177,0.6413,0.6378728821553006,0.9329937277777779,0.64,118221040,1063989360,3920.6570653915405,35,cifar10,quantity,0.1,10,44
10,2.178136776351929,0.64,0.6363795720093931,0.9319154111111111,0.6329,118221040,1182210400,3920.6570653915405,35,cifar10,quantity,0.1,10,44
11,2.2521504280090334,0.6329,0.6328308478058475,0.930946611111111,0.6428,118221040,1300431440,3920.6570653915405,35,cifar10,quantity,0.1,10,44
12,2.3924429580688478,0.6428,0.6409870266434008,0.9316613777777778,0.6444,118221040,1418652480,3920.6570653915405,35,cifar10,quantity,0.1,10,44
13,2.502253776550293,0.6444,0.6427281358044172,0.9330203722222222,0.6439,118221040,1536873520,3920.6570653915405,35,cifar10,quantity,0.1,10,44
14,2.5015656112670897,0.6439,0.6425196996461333,0.9323007722222222,0.6426,118221040,1655094560,3920.6570653915405,35,cifar10,quantity,0.1,10,44
15,2.578516431427002,0.6426,0.6404340101691087,0.9318128944444446,0.6428,118221040,1773315600,3920.6570653915405,35,cifar10,quantity,0.1,10,44
16,2.651979627990723,0.6428,0.6400052128743399,0.9309705444444443,0.6422,118221040,1891536640,3920.6570653915405,35,cifar10,quantity,0.1,10,44
17,2.7322778198242186,0.6422,0.640875627125191,0.9312290333333333,0.6424,118221040,2009757680,3920.6570653915405,35,cifar10,quantity,0.1,10,44
18,2.8005943588256836,0.6424,0.6403154606840352,0.9312756222222222,0.6404,118221040,2127978720,3920.6570653915405,35,cifar10,quantity,0.1,10,44
19,2.8390211433410646,0.6404,0.6373155384326323,0.9306415166666667,0.6383,118221040,2246199760,3920.6570653915405,35,cifar10,quantity,0.1,10,44
20,2.887763757324219,0.6383,0.6365737673323489,0.9302151444444446,0.6388,118221040,2364420800,3920.6570653915405,35,cifar10,quantity,0.1,10,44
21,2.9229969146728516,0.6388,0.6353472846878341,0.9308832444444445,0.6412,118221040,2482641840,3920.6570653915405,35,cifar10,quantity,0.1,10,44
22,3.021383334350586,0.6412,0.6384151692105573,0.9311356722222222,0.6369,118221040,2600862880,3920.6570653915405,35,cifar10,quantity,0.1,10,44
23,3.083756538391113,0.6369,0.6349006792019918,0.9302824611111111,0.6357,118221040,2719083920,3920.6570653915405,35,cifar10,quantity,0.1,10,44
24,3.0697577575683592,0.6357,0.6339268506351348,0.9297316666666667,0.6358,118221040,2837304960,3920.6570653915405,35,cifar10,quantity,0.1,10,44
25,3.1680575775146482,0.6358,0.6333633832998766,0.9295865222222222,0.6332,118221040,2955526000,3920.6570653915405,35,cifar10,quantity,0.1,10,44
26,3.2606076416015624,0.6332,0.6307301774590223,0.9283974111111111,0.6362,118221040,3073747040,3920.6570653915405,35,cifar10,quantity,0.1,10,44
27,3.3801485054016114,0.6362,0.6343195912754839,0.9287394722222222,0.6352,118221040,3191968080,3920.6570653915405,35,cifar10,quantity,0.1,10,44
28,3.379856179046631,0.6352,0.632727921221526,0.9292119944444444,0.6312,118221040,3310189120,3920.6570653915405,35,cifar10,quantity,0.1,10,44
29,3.457063059234619,0.6312,0.6293329709002263,0.9286416500000001,0.636,118221040,3428410160,3920.6570653915405,35,cifar10,quantity,0.1,10,44
30,3.4031345947265623,0.636,0.6341043139282835,0.9279303222222222,0.6325,118221040,3546631200,3920.6570653915405,35,cifar10,quantity,0.1,10,44
