round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,local_epochs,seed
1,2.298709703063965,0.1475,0.09507755834796576,0.55260295,0.1217,84443600,84443600,3066.179943084717,25,cifar10,label,0.1,5,43
2,3.394093257141113,0.1217,0.04164135008065143,0.6406591666666667,0.2983,84443600,168887200,3066.179943084717,25,cifar10,label,0.1,5,43
3,1.9245213794708251,0.2983,0.2121111075323439,0.8183786444444445,0.2164,84443600,253330800,3066.179943084717,25,cifar10,label,0.1,5,43
4,2.974952693939209,0.2164,0.14605713478291213,0.7488602833333334,0.3787,84443600,337774400,3066.179943084717,25,cifar10,label,0.1,5,43
5,1.695220768928528,0.3787,0.3132931471830414,0.8642123388888889,0.225,84443600,422218000,3066.179943084717,25,cifar10,label,0.1,5,43
6,3.2424899299621583,0.225,0.17191003170378014,0.7771165,0.407,84443600,506661600,3066.179943084717,25,cifar10,label,0.1,5,43
7,1.6301269649505614,0.407,0.3673211613617743,0.8743438166666667,0.2796,84443600,591105200,3066.179943084717,25,cifar10,label,0.1,5,43
8,2.9032087654113767,0.2796,0.24101352241819826,0.8169005833333334,0.4456,84443600,675548800,3066.179943084717,25,cifar10,label,0.1,5,43
9,1.5728300941467286,0.4456,0.41052140445690843,0.8853501944444444,0.3261,84443600,759992400,3066.179943084717,25,cifar10,label,0.1,5,43
10,2.5864759674072264,0.3261,0.3009632763890839,0.8445301833333334,0.4694,84443600,844436000,3066.179943084717,25,cifar10,label,0.1,5,43
11,1.534630646133423,0.4694,0.4400558813099707,0.8925806777777778,0.3754,84443600,928879600,3066.179943084717,25,cifar10,label,0.1,5,43
12,2.325217169570923,0.3754,0.36160159485828947,0.8641990611111112,0.4916,84443600,1013323200,3066.179943084717,25,cifar10,label,0.1,5,43
13,1.5120158325195312,0.4916,0.46420606936218717,0.8989714555555557,0.4272,84443600,1097766800,3066.179943084717,25,cifar10,label,0.1,5,43
14,2.076417604827881,0.4272,0.4176877522950984,0.8807476666666666,0.5213,84443600,1182210400,3066.179943084717,25,cifar10,label,0.1,5,43
15,1.4501863376617432,0.5213,0.4958037501760083,0.9061691944444444,0.4723,84443600,1266654000,3066.179943084717,25,cifar10,label,0.1,5,43
16,1.8899552124023438,0.4723,0.4596349490647128,0.8957256444444445,0.5536,84443600,1351097600,3066.179943084717,25,cifar10,label,0.1,5,43
17,1.382583755874634,0.5536,0.5294488646452711,0.9128381333333333,0.4958,84443600,1435541200,3066.179943084717,25,cifar10,label,0.1,5,43
18,1.8427556930541993,0.4958,0.4765491251856869,0.9035881055555557,0.5676,84443600,1519984800,3066.179943084717,25,cifar10,label,0.1,5,43
19,1.3920798099517822,0.5676,0.5438819189890275,0.9153032777777778,0.5048,84443600,1604428400,3066.179943084717,25,cifar10,label,0.1,5,43
20,1.9190528785705567,0.5048,0.47654889234952924,0.9082057000000001,0.5645,84443600,1688872000,3066.179943084717,25,cifar10,label,0.1,5,43
21,1.407626795196533,0.5645,0.5432818794083418,0.9140619055555556,0.4817,84443600,1773315600,3066.179943084717,25,cifar10,label,0.1,5,43
22,2.221776097869873,0.4817,0.4365770917411413,0.9076277666666668,0.5355,84443600,1857759200,3066.179943084717,25,cifar10,label,0.1,5,43
23,1.6015183921813965,0.5355,0.5109462320400194,0.9105899277777778,0.4751,84443600,1942202800,3066.179943084717,25,cifar10,label,0.1,5,43
24,2.5320161689758303,0.4751,0.41860552500008097,0.9032168277777778,0.5306,84443600,2026646400,3066.179943084717,25,cifar10,label,0.1,5,43
25,1.7331907958984376,0.5306,0.500880003837844,0.9092279111111111,0.4736,84443600,2111090000,3066.179943084717,25,cifar10,label,0.1,5,43
26,2.7577362926483153,0.4736,0.418046726463174,0.8980063555555555,0.5194,84443600,2195533600,3066.179943084717,25,cifar10,label,0.1,5,43
27,1.5735822463989257,0.5194,0.4961956938983252,0.9024937,0.4581,84443600,2279977200,3066.179943084717,25,cifar10,label,0.1,5,43
28,3.0263818527221678,0.4581,0.3993556494407552,0.8989347888888888,0.542,84443600,2364420800,3066.179943084717,25,cifar10,label,0.1,5,43
29,1.673413710784912,0.542,0.5167463910983493,0.9103726277777776,0.4526,84443600,2448864400,3066.179943084717,25,cifar10,label,0.1,5,43
30,3.1002977516174317,0.4526,0.3959259351613797,0.8967513166666666,0.5387,84443600,2533308000,3066.179943084717,25,cifar10,label,0.1,5,43
31,1.7779476936340333,0.5387,0.5124759921206332,0.9089119611111112,0.0,84443600,2617751600,3066.179943084717,25,cifar10,label,0.1,5,43
