round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,local_epochs,seed
1,2.298709703063965,0.1475,0.09507755834796576,0.55260295,0.4043,118221040,118221040,3427.93567609787,35,cifar10,quantity,0.1,5,43
2,1.8360668083190919,0.4043,0.3849147205986435,0.8391652777777778,0.3423,118221040,236442080,3427.93567609787,35,cifar10,quantity,0.1,5,43
3,1.9573860038757325,0.3423,0.3179123832774634,0.8024389166666668,0.2351,118221040,354663120,3427.93567609787,35,cifar10,quantity,0.1,5,43
4,11.065831938171387,0.2351,0.1626311371082312,0.8029560499999999,0.1165,118221040,472884160,3427.93567609787,35,cifar10,quantity,0.1,5,43
5,2.3254972846984865,0.1165,0.06772428300307543,0.5173529166666666,0.3903,118221040,591105200,3427.93567609787,35,cifar10,quantity,0.1,5,43
6,1.8003767700195312,0.3903,0.362605883752906,0.8344459277777778,0.3004,118221040,709326240,3427.93567609787,35,cifar10,quantity,0.1,5,43
7,2.462925174331665,0.3004,0.25692603354716326,0.7822000944444445,0.2034,118221040,827547280,3427.93567609787,35,cifar10,quantity,0.1,5,43
8,9.025364384460449,0.2034,0.09507673899785424,0.7378286611111112,0.132,118221040,945768320,3427.93567609787,35,cifar10,quantity,0.1,5,43
9,15.152916606140137,0.132,0.06751450005492701,0.5987461222222222,0.1223,118221040,1063989360,3427.93567609787,35,cifar10,quantity,0.1,5,43
10,2.4619812950134277,0.1223,0.06519745119057069,0.6189581777777777,0.1029,118221040,1182210400,3427.93567609787,35,cifar10,quantity,0.1,5,43
11,2.4283345413208006,0.1029,0.028922615849803934,0.5450925722222222,0.2464,118221040,1300431440,3427.93567609787,35,cifar10,quantity,0.1,5,43
12,3.2571703092575075,0.2464,0.20263401461604916,0.7158459777777777,0.1591,118221040,1418652480,3427.93567609787,35,cifar10,quantity,0.1,5,43
13,7.1463317153930666,0.1591,0.09232605432975935,0.6385820777777778,0.191,118221040,1536873520,3427.93567609787,35,cifar10,quantity,0.1,5,43
14,3.372366353225708,0.191,0.14016010842670892,0.6757876222222221,0.1133,118221040,1655094560,3427.93567609787,35,cifar10,quantity,0.1,5,43
15,12.993526232910156,0.1133,0.0419526584395649,0.6052396999999999,0.203,118221040,1773315600,3427.93567609787,35,cifar10,quantity,0.1,5,43
16,14.655008609008789,0.203,0.14466713875182752,0.6919129277777778,0.1275,118221040,1891536640,3427.93567609787,35,cifar10,quantity,0.1,5,43
17,6.572006526184082,0.1275,0.05492080813935929,0.5502634555555556,0.1757,118221040,2009757680,3427.93567609787,35,cifar10,quantity,0.1,5,43
18,5.345632749938964,0.1757,0.10715254688216458,0.6749621611111112,0.1492,118221040,2127978720,3427.93567609787,35,cifar10,quantity,0.1,5,43
19,3.8762430252075197,0.1492,0.08661424194515337,0.6424142,0.1761,118221040,2246199760,3427.93567609787,35,cifar10,quantity,0.1,5,43
20,3.9839331672668457,0.1761,0.09923929227506322,0.6918907611111111,0.163,118221040,2364420800,3427.93567609787,35,cifar10,quantity,0.1,5,43
21,3.0442783432006837,0.163,0.10377779772814189,0.6735055666666667,0.1883,118221040,2482641840,3427.93567609787,35,cifar10,quantity,0.1,5,43
22,3.1077376098632814,0.1883,0.13371060131807994,0.6957955611111111,0.1827,118221040,2600862880,3427.93567609787,35,cifar10,quantity,0.1,5,43
23,3.4332620437622072,0.1827,0.12183888534707762,0.6783776722222223,0.1592,118221040,2719083920,3427.93567609787,35,cifar10,quantity,0.1,5,43
24,9.813908638000488,0.1592,0.08663550386137134,0.6545941555555556,0.1197,118221040,2837304960,3427.93567609787,35,cifar10,quantity,0.1,5,43
25,7.84027501373291,0.1197,0.05316612137644226,0.5317627222222222,0.1725,118221040,2955526000,3427.93567609787,35,cifar10,quantity,0.1,5,43
26,4.888545567321778,0.1725,0.11657388307025127,0.63956065,0.156,118221040,3073747040,3427.93567609787,35,cifar10,quantity,0.1,5,43
27,2.7003924507141113,0.156,0.09227803514609681,0.6791457944444445,0.2476,118221040,3191968080,3427.93567609787,35,cifar10,quantity,0.1,5,43
28,3.4916594547271727,0.2476,0.19724120148171648,0.7328391166666667,0.18,118221040,3310189120,3427.93567609787,35,cifar10,quantity,0.1,5,43
29,4.486705995178222,0.18,0.10917321034113743,0.6891784333333335,0.1859,118221040,3428410160,3427.93567609787,35,cifar10,quantity,0.1,5,43
30,3.678645874786377,0.1859,0.10965046410556259,0.6746158,0.1798,118221040,3546631200,3427.93567609787,35,cifar10,quantity,0.1,5,43
31,5.076604272460938,0.1798,0.12570307610150222,0.6910014277777778,0.0,118221040,3664852240,3427.93567609787,35,cifar10,quantity,0.1,5,43
