round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,local_epochs,seed
1,2.3077149311065672,0.0979,0.021649822421351224,0.4934059111111111,0.1814,84443600,84443600,3300.0374703407288,25,cifar10,label,0.1,5,45
2,2.2065168548583984,0.1814,0.1103708692820277,0.7651755277777779,0.4219,84443600,168887200,3300.0374703407288,25,cifar10,label,0.1,5,45
3,1.590636894416809,0.4219,0.4041551850936059,0.8662246166666666,0.3812,84443600,253330800,3300.0374703407288,25,cifar10,label,0.1,5,45
4,1.713331791496277,0.3812,0.3527408885537747,0.8676774277777778,0.4827,84443600,337774400,3300.0374703407288,25,cifar10,label,0.1,5,45
5,1.4009255146026611,0.4827,0.4540998220503651,0.9032245388888889,0.4125,84443600,422218000,3300.0374703407288,25,cifar10,label,0.1,5,45
6,1.7105118217468263,0.4125,0.3858422778492042,0.8880892444444444,0.4841,84443600,506661600,3300.0374703407288,25,cifar10,label,0.1,5,45
7,1.5419896293640136,0.4841,0.4437249639769239,0.9065507500000001,0.4211,84443600,591105200,3300.0374703407288,25,cifar10,label,0.1,5,45
8,1.8650148448944093,0.4211,0.41268423264425425,0.8931587222222224,0.4868,84443600,675548800,3300.0374703407288,25,cifar10,label,0.1,5,45
9,1.763357755279541,0.4868,0.44551453033301713,0.9091056222222222,0.437,84443600,759992400,3300.0374703407288,25,cifar10,label,0.1,5,45
10,2.023171145629883,0.437,0.4263917915675533,0.8980083888888888,0.492,84443600,844436000,3300.0374703407288,25,cifar10,label,0.1,5,45
11,1.9903970859527589,0.492,0.453685024921125,0.9098069388888887,0.4438,84443600,928879600,3300.0374703407288,25,cifar10,label,0.1,5,45
12,2.2193937522888185,0.4438,0.42971097151658694,0.8987950611111112,0.493,84443600,1013323200,3300.0374703407288,25,cifar10,label,0.1,5,45
13,2.149566653442383,0.493,0.45886166872305534,0.9098335277777778,0.4484,84443600,1097766800,3300.0374703407288,25,cifar10,label,0.1,5,45
14,2.310573122406006,0.4484,0.4336318498661832,0.8985476611111111,0.4954,84443600,1182210400,3300.0374703407288,25,cifar10,label,0.1,5,45
15,2.270560610961914,0.4954,0.4664427933877996,0.9090129833333332,0.4551,84443600,1266654000,3300.0374703407288,25,cifar10,label,0.1,5,45
16,2.4482023094177245,0.4551,0.43885957175327867,0.9011237333333334,0.5021,84443600,1351097600,3300.0374703407288,25,cifar10,label,0.1,5,45
17,2.307509105300903,0.5021,0.4773247262832877,0.9094225722222223,0.4538,84443600,1435541200,3300.0374703407288,25,cifar10,label,0.1,5,45
18,2.625691552734375,0.4538,0.44231306248677393,0.9007612944444444,0.5113,84443600,1519984800,3300.0374703407288,25,cifar10,label,0.1,5,45
19,2.2982200927734375,0.5113,0.48536395923146325,0.9109687722222223,0.4675,84443600,1604428400,3300.0374703407288,25,cifar10,label,0.1,5,45
20,2.620568857192993,0.4675,0.45837338527442173,0.9038305944444446,0.5259,84443600,1688872000,3300.0374703407288,25,cifar10,label,0.1,5,45
21,2.263503002166748,0.5259,0.4992318304640123,0.9135870166666665,0.4665,84443600,1773315600,3300.0374703407288,25,cifar10,label,0.1,5,45
22,2.6607863861083985,0.4665,0.463232329251652,0.9026885277777776,0.5213,84443600,1857759200,3300.0374703407288,25,cifar10,label,0.1,5,45
23,2.3675715072631838,0.5213,0.4950965376452297,0.9119124555555557,0.4462,84443600,1942202800,3300.0374703407288,25,cifar10,label,0.1,5,45
24,2.9431812210083006,0.4462,0.44007780897780197,0.899031688888889,0.5219,84443600,2026646400,3300.0374703407288,25,cifar10,label,0.1,5,45
25,2.4634691123962402,0.5219,0.49446976374713625,0.9125228777777779,0.4512,84443600,2111090000,3300.0374703407288,25,cifar10,label,0.1,5,45
26,2.9550581008911134,0.4512,0.4465968250826472,0.8978675,0.5292,84443600,2195533600,3300.0374703407288,25,cifar10,label,0.1,5,45
27,2.5520106475830078,0.5292,0.50388261588973,0.9128339444444444,0.4644,84443600,2279977200,3300.0374703407288,25,cifar10,label,0.1,5,45
28,2.9113810356140135,0.4644,0.4634943080425858,0.8982649166666666,0.5352,84443600,2364420800,3300.0374703407288,25,cifar10,label,0.1,5,45
29,2.534113962554932,0.5352,0.5084671187364157,0.9130593055555556,0.4583,84443600,2448864400,3300.0374703407288,25,cifar10,label,0.1,5,45
30,3.270785570526123,0.4583,0.4558751618614834,0.9001845555555557,0.5367,84443600,2533308000,3300.0374703407288,25,cifar10,label,0.1,5,45
31,2.653000830078125,0.5367,0.5069176803616225,0.9129872166666667,0.0,84443600,2617751600,3300.0374703407288,25,cifar10,label,0.1,5,45
