round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,local_epochs,seed
1,2.298709703063965,0.1475,0.09507755834796576,0.55260295,0.3709,118221040,118221040,6377.2680122852325,35,cifar10,quantity,0.1,1,43
2,2.105078479003906,0.3709,0.3441020187377803,0.8198758555555555,0.1694,118221040,236442080,6377.2680122852325,35,cifar10,quantity,0.1,1,43
3,3.604133598327637,0.1694,0.10755244401182891,0.7083679333333334,0.1107,118221040,354663120,6377.2680122852325,35,cifar10,quantity,0.1,1,43
4,16.007429559326173,0.1107,0.03740361872091858,0.6320269222222221,0.1,118221040,472884160,6377.2680122852325,35,cifar10,quantity,0.1,1,43
5,25.077112127685545,0.1,0.01818181818181818,0.5739916611111111,0.1004,118221040,591105200,6377.2680122852325,35,cifar10,quantity,0.1,1,43
6,20.4011897857666,0.1004,0.01899708846527457,0.60896065,0.1267,118221040,709326240,6377.2680122852325,35,cifar10,quantity,0.1,1,43
7,9.542916987609864,0.1267,0.053692512279126595,0.6450029833333333,0.1005,118221040,827547280,6377.2680122852325,35,cifar10,quantity,0.1,1,43
8,25.300712384033204,0.1005,0.019193721309658206,0.6259125277777777,0.1162,118221040,945768320,6377.2680122852325,35,cifar10,quantity,0.1,1,43
9,26.441621215820312,0.1162,0.042186586356603585,0.6000194888888888,0.1,118221040,1063989360,6377.2680122852325,35,cifar10,quantity,0.1,1,43
10,25.485385528564453,0.1,0.018183471224656786,0.6327212055555557,0.1003,118221040,1182210400,6377.2680122852325,35,cifar10,quantity,0.1,1,43
11,16.46882809753418,0.1003,0.01878829178675887,0.5901029111111111,0.1042,118221040,1300431440,6377.2680122852325,35,cifar10,quantity,0.1,1,43
12,19.633878936767577,0.1042,0.02604330516816463,0.6048252722222222,0.1,118221040,1418652480,6377.2680122852325,35,cifar10,quantity,0.1,1,43
13,24.166683776855468,0.1,0.01818181818181818,0.5796961388888888,0.2101,118221040,1536873520,6377.2680122852325,35,cifar10,quantity,0.1,1,43
14,5.682287008666992,0.2101,0.14009975189741086,0.7393416944444444,0.1071,118221040,1655094560,6377.2680122852325,35,cifar10,quantity,0.1,1,43
15,19.164306146240236,0.1071,0.03128907504053775,0.6485308111111111,0.238,118221040,1773315600,6377.2680122852325,35,cifar10,quantity,0.1,1,43
16,8.205752731323242,0.238,0.1655803005537056,0.7457763944444444,0.1702,118221040,1891536640,6377.2680122852325,35,cifar10,quantity,0.1,1,43
17,9.921154452514648,0.1702,0.10382925666243874,0.6424176777777777,0.1431,118221040,2009757680,6377.2680122852325,35,cifar10,quantity,0.1,1,43
18,17.48867526245117,0.1431,0.06584238021584682,0.6770263055555555,0.1583,118221040,2127978720,6377.2680122852325,35,cifar10,quantity,0.1,1,43
19,10.292213148498535,0.1583,0.08934413779902518,0.6318565611111111,0.1465,118221040,2246199760,6377.2680122852325,35,cifar10,quantity,0.1,1,43
20,24.23019622192383,0.1465,0.06355725200858817,0.6556598611111111,0.1442,118221040,2364420800,6377.2680122852325,35,cifar10,quantity,0.1,1,43
21,18.078436151123046,0.1442,0.07147600754638819,0.5754596222222222,0.1629,118221040,2482641840,6377.2680122852325,35,cifar10,quantity,0.1,1,43
22,8.895937683868409,0.1629,0.09091173001458686,0.7016708111111112,0.113,118221040,2600862880,6377.2680122852325,35,cifar10,quantity,0.1,1,43
23,17.836268966674805,0.113,0.045283765638875616,0.6129881166666667,0.1418,118221040,2719083920,6377.2680122852325,35,cifar10,quantity,0.1,1,43
24,22.921958666992186,0.1418,0.06201907954930356,0.6599318888888889,0.147,118221040,2837304960,6377.2680122852325,35,cifar10,quantity,0.1,1,43
25,6.562802124023437,0.147,0.09153765129238002,0.7002355611111112,0.2811,118221040,2955526000,6377.2680122852325,35,cifar10,quantity,0.1,1,43
26,7.264429957580567,0.2811,0.21202514156374602,0.7752013499999999,0.1748,118221040,3073747040,6377.2680122852325,35,cifar10,quantity,0.1,1,43
27,11.356554811096192,0.1748,0.11068307162455182,0.7174623,0.108,118221040,3191968080,6377.2680122852325,35,cifar10,quantity,0.1,1,43
28,42.43796712646484,0.108,0.03001956072773066,0.6489924166666667,0.1798,118221040,3310189120,6377.2680122852325,35,cifar10,quantity,0.1,1,43
29,7.129789978027344,0.1798,0.10946480712441317,0.7056720722222222,0.287,118221040,3428410160,6377.2680122852325,35,cifar10,quantity,0.1,1,43
30,3.5397186752319336,0.287,0.24329222102513656,0.78111975,0.211,118221040,3546631200,6377.2680122852325,35,cifar10,quantity,0.1,1,43
31,7.471862316894531,0.211,0.1694942752662921,0.7658906833333334,0.0,118221040,3664852240,6377.2680122852325,35,cifar10,quantity,0.1,1,43
