round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,proximal_mu,local_epochs,batch_size,seed
1,2.301845955276489,0.0893,0.04861367622650547,0.5350526888888889,0.3514,118221040,118221040,4089.712038040161,35,cifar10,label,0.5,0.01,5,64,44
2,1.8448052005767823,0.3514,0.2808499838162506,0.8454736222222223,0.4502,118221040,236442080,4089.712038040161,35,cifar10,label,0.5,0.01,5,64,44
3,1.4923565912246703,0.4502,0.4144937847732356,0.8821348777777779,0.5129,118221040,354663120,4089.712038040161,35,cifar10,label,0.5,0.01,5,64,44
4,1.3490400390625,0.5129,0.4899906304907919,0.8988685722222222,0.5462,118221040,472884160,4089.712038040161,35,cifar10,label,0.5,0.01,5,64,44
5,1.2631240020751953,0.5462,0.529206751341943,0.910197611111111,0.5727,118221040,591105200,4089.712038040161,35,cifar10,label,0.5,0.01,5,64,44
6,1.1975492134094239,0.5727,0.5593032537934961,0.9188905,0.594,118221040,709326240,4089.712038040161,35,cifar10,label,0.5,0.01,5,64,44
7,1.1511942558288575,0.594,0.5826398367306346,0.9251182944444445,0.6091,118221040,827547280,4089.712038040161,35,cifar10,label,0.5,0.01,5,64,44
8,1.119165019607544,0.6091,0.598926771278261,0.9296759166666666,0.6239,118221040,945768320,4089.712038040161,35,cifar10,label,0.5,0.01,5,64,44
9,1.0935343542098999,0.6239,0.6156656475527468,0.9332255444444446,0.6339,118221040,1063989360,4089.712038040161,35,cifar10,label,0.5,0.01,5,64,44
10,1.0798119895935059,0.6339,0.6267217039475516,0.9358482333333333,0.6411,118221040,1182210400,4089.712038040161,35,cifar10,label,0.5,0.01,5,64,44
11,1.0774209415435791,0.6411,0.6340589586592563,0.9377373222222222,0.6469,118221040,1300431440,4089.712038040161,35,cifar10,label,0.5,0.01,5,64,44
12,1.0823766716003418,0.6469,0.639398619324693,0.9391685722222223,0.6529,118221040,1418652480,4089.712038040161,35,cifar10,label,0.5,0.01,5,64,44
13,1.0878805965423584,0.6529,0.6463799065976387,0.9403130888888886,0.6555,118221040,1536873520,4089.712038040161,35,cifar10,label,0.5,0.01,5,64,44
14,1.0974345817565918,0.6555,0.6493476119880092,0.9413115166666668,0.6584,118221040,1655094560,4089.712038040161,35,cifar10,label,0.5,0.01,5,64,44
15,1.1091653303146363,0.6584,0.652021775719967,0.9419562944444445,0.6601,118221040,1773315600,4089.712038040161,35,cifar10,label,0.5,0.01,5,64,44
16,1.1258963994979858,0.6601,0.6543683700613568,0.9425442555555555,0.6641,118221040,1891536640,4089.712038040161,35,cifar10,label,0.5,0.01,5,64,44
17,1.1436349868774414,0.6641,0.6588095664050596,0.94296305,0.6655,118221040,2009757680,4089.712038040161,35,cifar10,label,0.5,0.01,5,64,44
18,1.165462017440796,0.6655,0.6595369306732077,0.9433182833333333,0.6677,118221040,2127978720,4089.712038040161,35,cifar10,label,0.5,0.01,5,64,44
19,1.1797326196670532,0.6677,0.6620258871854119,0.9434883444444443,0.6673,118221040,2246199760,4089.712038040161,35,cifar10,label,0.5,0.01,5,64,44
20,1.2002892936706544,0.6673,0.661025942340545,0.9436622833333332,0.6683,118221040,2364420800,4089.712038040161,35,cifar10,label,0.5,0.01,5,64,44
21,1.2065033977508546,0.6683,0.662850333131171,0.9439919166666666,0.6681,118221040,2482641840,4089.712038040161,35,cifar10,label,0.5,0.01,5,64,44
22,1.229893737411499,0.6681,0.662286098833156,0.9441240777777778,0.6687,118221040,2600862880,4089.712038040161,35,cifar10,label,0.5,0.01,5,64,44
23,1.2485853216171265,0.6687,0.662967482261364,0.9442368722222222,0.6688,118221040,2719083920,4089.712038040161,35,cifar10,label,0.5,0.01,5,64,44
24,1.2716417770385742,0.6688,0.6624131819808201,0.9443363166666666,0.6709,118221040,2837304960,4089.712038040161,35,cifar10,label,0.5,0.01,5,64,44
25,1.2844305000305176,0.6709,0.6643713846964061,0.9443270500000001,0.6699,118221040,2955526000,4089.712038040161,35,cifar10,label,0.5,0.01,5,64,44
26,1.3092308151245118,0.6699,0.6630538200519702,0.9442985555555555,0.6717,118221040,3073747040,4089.712038040161,35,cifar10,label,0.5,0.01,5,64,44
27,1.325227645111084,0.6717,0.6652366113768832,0.9444300055555557,0.6727,118221040,3191968080,4089.712038040161,35,cifar10,label,0.5,0.01,5,64,44
28,1.3396710918426513,0.6727,0.6663228760230374,0.9446252166666668,0.674,118221040,3310189120,4089.712038040161,35,cifar10,label,0.5,0.01,5,64,44
29,1.3618333110809326,0.674,0.6671433437473728,0.9445515833333336,0.6727,118221040,3428410160,4089.712038040161,35,cifar10,label,0.5,0.01,5,64,44
30,1.3626998662948608,0.6727,0.6667113227304913,0.9447006555555555,0.6736,118221040,3546631200,4089.712038040161,35,cifar10,label,0.5,0.01,5,64,44
31,1.3798447175979613,0.6736,0.6677752141681581,0.9445084222222222,0.0,118221040,3664852240,4089.712038040161,35,cifar10,label,0.5,0.01,5,64,44
