round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,proximal_mu,local_epochs,batch_size,seed
1,2.301845955276489,0.0893,0.04861367622650547,0.5350526888888889,0.4428,118221040,118221040,3604.539464712143,35,cifar10,quantity,0.1,0.01,1,64,44
2,1.663545713043213,0.4428,0.43066043550774447,0.8611830277777777,0.5265,118221040,236442080,3604.539464712143,35,cifar10,quantity,0.1,0.01,1,64,44
3,1.3453828386306763,0.5265,0.5204823427858315,0.8968452888888889,0.5708,118221040,354663120,3604.539464712143,35,cifar10,quantity,0.1,0.01,1,64,44
4,1.2289781379699707,0.5708,0.5673969079821032,0.9123456277777778,0.594,118221040,472884160,3604.539464712143,35,cifar10,quantity,0.1,0.01,1,64,44
5,1.1522408288955688,0.594,0.5899038988080998,0.9222217888888888,0.6103,118221040,591105200,3604.539464712143,35,cifar10,quantity,0.1,0.01,1,64,44
6,1.1070484447479247,0.6103,0.6093374873884408,0.9284341833333333,0.6262,118221040,709326240,3604.539464712143,35,cifar10,quantity,0.1,0.01,1,64,44
7,1.0685084732055663,0.6262,0.6264813052637479,0.9330458444444444,0.6353,118221040,827547280,3604.539464712143,35,cifar10,quantity,0.1,0.01,1,64,44
8,1.0398068601608277,0.6353,0.6363036143252312,0.9364418166666667,0.648,118221040,945768320,3604.539464712143,35,cifar10,quantity,0.1,0.01,1,64,44
9,1.0090730199813842,0.648,0.6490459880734039,0.9395494500000001,0.6575,118221040,1063989360,3604.539464712143,35,cifar10,quantity,0.1,0.01,1,64,44
10,0.9868819049835205,0.6575,0.6585417849156638,0.9418976166666667,0.6646,118221040,1182210400,3604.539464712143,35,cifar10,quantity,0.1,0.01,1,64,44
11,0.9692675592422485,0.6646,0.6649094411598797,0.9436700111111109,0.6705,118221040,1300431440,3604.539464712143,35,cifar10,quantity,0.1,0.01,1,64,44
12,0.9531390111923218,0.6705,0.6697691907939215,0.9453123666666666,0.6765,118221040,1418652480,3604.539464712143,35,cifar10,quantity,0.1,0.01,1,64,44
13,0.9438421148300171,0.6765,0.6750115924131697,0.9466443777777778,0.6789,118221040,1536873520,3604.539464712143,35,cifar10,quantity,0.1,0.01,1,64,44
14,0.939142099761963,0.6789,0.675523482829238,0.9475567333333335,0.6805,118221040,1655094560,3604.539464712143,35,cifar10,quantity,0.1,0.01,1,64,44
15,0.9357816827774048,0.6805,0.6756314899561475,0.9483107666666667,0.6807,118221040,1773315600,3604.539464712143,35,cifar10,quantity,0.1,0.01,1,64,44
16,0.9395208526611328,0.6807,0.6748745588811609,0.9484878222222223,0.6831,118221040,1891536640,3604.539464712143,35,cifar10,quantity,0.1,0.01,1,64,44
17,0.9479874635696411,0.6831,0.6755492156449606,0.9485422555555555,0.6791,118221040,2009757680,3604.539464712143,35,cifar10,quantity,0.1,0.01,1,64,44
18,0.9659865804672241,0.6791,0.6729551785171621,0.9477187333333335,0.6787,118221040,2127978720,3604.539464712143,35,cifar10,quantity,0.1,0.01,1,64,44
19,0.9776426025390625,0.6787,0.6736900955935466,0.9474386833333333,0.6784,118221040,2246199760,3604.539464712143,35,cifar10,quantity,0.1,0.01,1,64,44
20,0.9799497262954712,0.6784,0.6741696121059971,0.9477349500000001,0.6818,118221040,2364420800,3604.539464712143,35,cifar10,quantity,0.1,0.01,1,64,44
21,0.9791705846786499,0.6818,0.6770098618625855,0.9483712499999999,0.6847,118221040,2482641840,3604.539464712143,35,cifar10,quantity,0.1,0.01,1,64,44
22,0.9800513763427734,0.6847,0.6790952062284885,0.9486617722222223,0.6879,118221040,2600862880,3604.539464712143,35,cifar10,quantity,0.1,0.01,1,64,44
23,0.9876466102600098,0.6879,0.6823843334854633,0.9485533111111112,0.6873,118221040,2719083920,3604.539464712143,35,cifar10,quantity,0.1,0.01,1,64,44
24,1.0022438007354737,0.6873,0.682283206453575,0.9481691,0.6869,118221040,2837304960,3604.539464712143,35,cifar10,quantity,0.1,0.01,1,64,44
25,1.024227778816223,0.6869,0.6828420590415241,0.947682638888889,0.6815,118221040,2955526000,3604.539464712143,35,cifar10,quantity,0.1,0.01,1,64,44
26,1.058083173751831,0.6815,0.6780053327761417,0.9470551722222222,0.6818,118221040,3073747040,3604.539464712143,35,cifar10,quantity,0.1,0.01,1,64,44
27,1.0836284872055053,0.6818,0.6783675327603991,0.9463280611111109,0.6792,118221040,3191968080,3604.539464712143,35,cifar10,quantity,0.1,0.01,1,64,44
28,1.1083233848571776,0.6792,0.6752590055761808,0.9455391500000001,0.6755,118221040,3310189120,3604.539464712143,35,cifar10,quantity,0.1,0.01,1,64,44
29,1.1358294445037842,0.6755,0.6710968566982233,0.9449418999999999,0.6786,118221040,3428410160,3604.539464712143,35,cifar10,quantity,0.1,0.01,1,64,44
30,1.150106953048706,0.6786,0.6745944246701848,0.9452310722222222,0.6756,118221040,3546631200,3604.539464712143,35,cifar10,quantity,0.1,0.01,1,64,44
31,1.1823406772613525,0.6756,0.6720956520673833,0.9453433500000001,0.0,118221040,3664852240,3604.539464712143,35,cifar10,quantity,0.1,0.01,1,64,44
