round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,local_epochs,seed
1,2.301845955276489,0.0893,0.04861367622650547,0.5350526888888889,0.2443,118221040,118221040,4023.9233479499817,35,cifar10,label,0.1,5,44
2,2.167617560195923,0.2443,0.18217555546231862,0.7793920388888889,0.345,118221040,236442080,4023.9233479499817,35,cifar10,label,0.1,5,44
3,1.8735029941558838,0.345,0.2800406830353077,0.8472599222222221,0.3962,118221040,354663120,4023.9233479499817,35,cifar10,label,0.1,5,44
4,1.6813766860961914,0.3962,0.3472691475596773,0.8727883833333333,0.4827,118221040,472884160,4023.9233479499817,35,cifar10,label,0.1,5,44
5,1.4788678478240966,0.4827,0.45255919260196587,0.8952286611111111,0.4917,118221040,591105200,4023.9233479499817,35,cifar10,label,0.1,5,44
6,1.4055303386688232,0.4917,0.4552225134811835,0.9054232888888889,0.5497,118221040,709326240,4023.9233479499817,35,cifar10,label,0.1,5,44
7,1.2771365116119384,0.5497,0.5227930275087764,0.9161831666666667,0.5478,118221040,827547280,4023.9233479499817,35,cifar10,label,0.1,5,44
8,1.245320139694214,0.5478,0.5142917646165145,0.9215057277777777,0.5828,118221040,945768320,4023.9233479499817,35,cifar10,label,0.1,5,44
9,1.1659928630828857,0.5828,0.5609855140433555,0.9270564111111111,0.5797,118221040,1063989360,4023.9233479499817,35,cifar10,label,0.1,5,44
10,1.160926833152771,0.5797,0.5515039525558642,0.9293654666666666,0.6054,118221040,1182210400,4023.9233479499817,35,cifar10,label,0.1,5,44
11,1.1040318167686463,0.6054,0.5882402509556961,0.9327282333333333,0.6026,118221040,1300431440,4023.9233479499817,35,cifar10,label,0.1,5,44
12,1.1155866058349608,0.6026,0.580486522226291,0.9337458444444444,0.6191,118221040,1418652480,4023.9233479499817,35,cifar10,label,0.1,5,44
13,1.0807560182571412,0.6191,0.6068152746888603,0.9355930888888888,0.6138,118221040,1536873520,4023.9233479499817,35,cifar10,label,0.1,5,44
14,1.1166841758728028,0.6138,0.5932575061198582,0.9356829777777778,0.6253,118221040,1655094560,4023.9233479499817,35,cifar10,label,0.1,5,44
15,1.0837009172439576,0.6253,0.6162936765278672,0.9369397611111111,0.6161,118221040,1773315600,4023.9233479499817,35,cifar10,label,0.1,5,44
16,1.1496954692840575,0.6161,0.5983435902892904,0.9358631444444445,0.6283,118221040,1891536640,4023.9233479499817,35,cifar10,label,0.1,5,44
17,1.0921614329338074,0.6283,0.6218836667978579,0.9376602222222221,0.6176,118221040,2009757680,4023.9233479499817,35,cifar10,label,0.1,5,44
18,1.1836849370956422,0.6176,0.600877700551025,0.9356831333333332,0.632,118221040,2127978720,4023.9233479499817,35,cifar10,label,0.1,5,44
19,1.1055510166168212,0.632,0.6258751724729587,0.9381608499999998,0.6187,118221040,2246199760,4023.9233479499817,35,cifar10,label,0.1,5,44
20,1.2100336149215698,0.6187,0.602654513760421,0.9360106777777777,0.638,118221040,2364420800,4023.9233479499817,35,cifar10,label,0.1,5,44
21,1.1213790365219116,0.638,0.6327076504050162,0.9385482222222222,0.6234,118221040,2482641840,4023.9233479499817,35,cifar10,label,0.1,5,44
22,1.2286485221862793,0.6234,0.6082416057981697,0.9365884555555555,0.6383,118221040,2600862880,4023.9233479499817,35,cifar10,label,0.1,5,44
23,1.1543591572761536,0.6383,0.6339339202118457,0.9385722055555554,0.6284,118221040,2719083920,4023.9233479499817,35,cifar10,label,0.1,5,44
24,1.2345490156173706,0.6284,0.6149589024922901,0.9372967388888889,0.643,118221040,2837304960,4023.9233479499817,35,cifar10,label,0.1,5,44
25,1.170749247264862,0.643,0.638856225992636,0.9389185611111112,0.6358,118221040,2955526000,4023.9233479499817,35,cifar10,label,0.1,5,44
26,1.236549657535553,0.6358,0.624552568111974,0.93807755,0.646,118221040,3073747040,4023.9233479499817,35,cifar10,label,0.1,5,44
27,1.192860210800171,0.646,0.6409595150299452,0.9391467888888888,0.637,118221040,3191968080,4023.9233479499817,35,cifar10,label,0.1,5,44
28,1.2620656553268432,0.637,0.6259452424789964,0.9380575888888888,0.6484,118221040,3310189120,4023.9233479499817,35,cifar10,label,0.1,5,44
29,1.2155025605201721,0.6484,0.6427343437677886,0.9394538666666667,0.6375,118221040,3428410160,4023.9233479499817,35,cifar10,label,0.1,5,44
30,1.2706959978103638,0.6375,0.6275089058288174,0.9382338888888888,0.6488,118221040,3546631200,4023.9233479499817,35,cifar10,label,0.1,5,44
