round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,local_epochs,seed
1,2.301845955276489,0.0893,0.04861367622650547,0.5350526888888889,0.5975,118221040,118221040,3553.7006351947784,35,cifar10,quantity,0.1,5,44
2,1.2091173519134522,0.5975,0.5987208366497596,0.9224280222222223,0.695,118221040,236442080,3553.7006351947784,35,cifar10,quantity,0.1,5,44
3,0.880960816192627,0.695,0.6969733346764821,0.9531956833333333,0.7153,118221040,354663120,3553.7006351947784,35,cifar10,quantity,0.1,5,44
4,0.8826762138366699,0.7153,0.7148682127918222,0.9587060222222222,0.7194,118221040,472884160,3553.7006351947784,35,cifar10,quantity,0.1,5,44
5,1.0037968713760377,0.7194,0.719734549369115,0.9584143166666668,0.7167,118221040,591105200,3553.7006351947784,35,cifar10,quantity,0.1,5,44
6,1.170116976737976,0.7167,0.7166202525475605,0.9577534388888889,0.7228,118221040,709326240,3553.7006351947784,35,cifar10,quantity,0.1,5,44
7,1.2619148235321045,0.7228,0.7230536627774092,0.9569924055555555,0.7125,118221040,827547280,3553.7006351947784,35,cifar10,quantity,0.1,5,44
8,1.4063597183227539,0.7125,0.7142315187369074,0.9550943166666667,0.728,118221040,945768320,3553.7006351947784,35,cifar10,quantity,0.1,5,44
9,1.476671234893799,0.728,0.7273071909812315,0.9593424277777778,0.73,118221040,1063989360,3553.7006351947784,35,cifar10,quantity,0.1,5,44
10,1.5215165699005126,0.73,0.7290636692971791,0.9592936166666666,0.73,118221040,1182210400,3553.7006351947784,35,cifar10,quantity,0.1,5,44
11,1.5389837268829345,0.73,0.7290779008847398,0.9592807999999999,0.7292,118221040,1300431440,3553.7006351947784,35,cifar10,quantity,0.1,5,44
12,1.5572107070922852,0.7292,0.727964258393276,0.9592840611111113,0.7316,118221040,1418652480,3553.7006351947784,35,cifar10,quantity,0.1,5,44
13,1.580658903503418,0.7316,0.7302896780870082,0.9592434444444444,0.7307,118221040,1536873520,3553.7006351947784,35,cifar10,quantity,0.1,5,44
14,1.600193848800659,0.7307,0.7294807350285477,0.9590155333333333,0.7298,118221040,1655094560,3553.7006351947784,35,cifar10,quantity,0.1,5,44
15,1.6113867191314697,0.7298,0.7285806047145971,0.9590259333333332,0.7306,118221040,1773315600,3553.7006351947784,35,cifar10,quantity,0.1,5,44
16,1.6269041816711425,0.7306,0.7295614115871916,0.9592582222222223,0.7318,118221040,1891536640,3553.7006351947784,35,cifar10,quantity,0.1,5,44
17,1.6385693393707275,0.7318,0.7304619376957479,0.9591343222222222,0.7304,118221040,2009757680,3553.7006351947784,35,cifar10,quantity,0.1,5,44
18,1.6344068912506104,0.7304,0.7289802104038856,0.958973538888889,0.7317,118221040,2127978720,3553.7006351947784,35,cifar10,quantity,0.1,5,44
19,1.6587549125671386,0.7317,0.7305228137163148,0.9590609166666667,0.7322,118221040,2246199760,3553.7006351947784,35,cifar10,quantity,0.1,5,44
20,1.671132339477539,0.7322,0.7311660714191559,0.9590875555555556,0.7308,118221040,2364420800,3553.7006351947784,35,cifar10,quantity,0.1,5,44
21,1.6740553001403808,0.7308,0.7298958279798775,0.9590746722222221,0.7313,118221040,2482641840,3553.7006351947784,35,cifar10,quantity,0.1,5,44
22,1.6688969703674317,0.7313,0.7302224474990698,0.9589730277777777,0.7307,118221040,2600862880,3553.7006351947784,35,cifar10,quantity,0.1,5,44
23,1.6655924762725831,0.7307,0.7296916775988003,0.9592425055555556,0.7311,118221040,2719083920,3553.7006351947784,35,cifar10,quantity,0.1,5,44
24,1.6857513050079345,0.7311,0.7300001656321824,0.9591528888888889,0.7305,118221040,2837304960,3553.7006351947784,35,cifar10,quantity,0.1,5,44
25,1.6904219432830812,0.7305,0.7293382279323477,0.9591626555555557,0.7306,118221040,2955526000,3553.7006351947784,35,cifar10,quantity,0.1,5,44
26,1.690388773727417,0.7306,0.7293269247494524,0.9592247111111112,0.7305,118221040,3073747040,3553.7006351947784,35,cifar10,quantity,0.1,5,44
27,1.6912538780212403,0.7305,0.7292588765585497,0.9592040055555555,0.7309,118221040,3191968080,3553.7006351947784,35,cifar10,quantity,0.1,5,44
28,1.6833823036193847,0.7309,0.7298132537052199,0.9591517555555555,0.7306,118221040,3310189120,3553.7006351947784,35,cifar10,quantity,0.1,5,44
29,1.680476091003418,0.7306,0.7295746220270835,0.9592030666666667,0.7309,118221040,3428410160,3553.7006351947784,35,cifar10,quantity,0.1,5,44
30,1.67854524269104,0.7309,0.7298566664377053,0.9592801277777777,0.7309,118221040,3546631200,3553.7006351947784,35,cifar10,quantity,0.1,5,44
