round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,local_epochs,seed
1,2.301845955276489,0.0893,0.04861367622650547,0.5350526888888889,0.1926,118221040,118221040,3906.1758460998535,35,cifar10,label,0.1,5,44
2,2.190572437286377,0.1926,0.0905316788193299,0.776817938888889,0.3329,118221040,236442080,3906.1758460998535,35,cifar10,label,0.1,5,44
3,1.8307782930374146,0.3329,0.27799064286252745,0.8375786444444445,0.2705,118221040,354663120,3906.1758460998535,35,cifar10,label,0.1,5,44
4,1.9771615886688232,0.2705,0.18101451395534168,0.8429159111111112,0.3838,118221040,472884160,3906.1758460998535,35,cifar10,label,0.1,5,44
5,1.7866809774398804,0.3838,0.33858197756792097,0.871799738888889,0.2552,118221040,591105200,3906.1758460998535,35,cifar10,label,0.1,5,44
6,2.266672060394287,0.2552,0.18805132419529294,0.8230969277777778,0.4222,118221040,709326240,3906.1758460998535,35,cifar10,label,0.1,5,44
7,1.5984795825958251,0.4222,0.35405765458800403,0.8869951111111112,0.3219,118221040,827547280,3906.1758460998535,35,cifar10,label,0.1,5,44
8,1.905291287612915,0.3219,0.26645758751479687,0.8740843888888887,0.3753,118221040,945768320,3906.1758460998535,35,cifar10,label,0.1,5,44
9,1.7528897853851317,0.3753,0.30353007938107956,0.8848748722222222,0.3498,118221040,1063989360,3906.1758460998535,35,cifar10,label,0.1,5,44
10,2.101777947998047,0.3498,0.2870557608016814,0.8713075888888888,0.3762,118221040,1182210400,3906.1758460998535,35,cifar10,label,0.1,5,44
11,1.7124591590881348,0.3762,0.320489279733654,0.8860802222222223,0.3899,118221040,1300431440,3906.1758460998535,35,cifar10,label,0.1,5,44
12,1.9538387943267823,0.3899,0.34729482869201267,0.887148,0.4501,118221040,1418652480,3906.1758460998535,35,cifar10,label,0.1,5,44
13,1.6164592380523681,0.4501,0.4142108371218983,0.891270111111111,0.4043,118221040,1536873520,3906.1758460998535,35,cifar10,label,0.1,5,44
14,1.9515162858963013,0.4043,0.37463841228857897,0.8911480111111111,0.4697,118221040,1655094560,3906.1758460998535,35,cifar10,label,0.1,5,44
15,1.6046470109939575,0.4697,0.43235613681321017,0.8919499444444444,0.4301,118221040,1773315600,3906.1758460998535,35,cifar10,label,0.1,5,44
16,1.8985338691711426,0.4301,0.41545402301281387,0.8996350166666666,0.5085,118221040,1891536640,3906.1758460998535,35,cifar10,label,0.1,5,44
17,1.5771419714927672,0.5085,0.4620916930062194,0.906600422222222,0.4875,118221040,2009757680,3906.1758460998535,35,cifar10,label,0.1,5,44
18,1.6327370092391968,0.4875,0.47697853765975484,0.9096414388888888,0.5274,118221040,2127978720,3906.1758460998535,35,cifar10,label,0.1,5,44
19,1.5590141191482545,0.5274,0.5025891064895187,0.9118746499999999,0.5029,118221040,2246199760,3906.1758460998535,35,cifar10,label,0.1,5,44
20,1.642926774597168,0.5029,0.475260925323579,0.9133941166666666,0.5259,118221040,2364420800,3906.1758460998535,35,cifar10,label,0.1,5,44
21,1.5215805446624755,0.5259,0.5088553237841669,0.9154590166666667,0.5412,118221040,2482641840,3906.1758460998535,35,cifar10,label,0.1,5,44
22,1.4882182146072387,0.5412,0.5112218730985614,0.9212168777777776,0.5484,118221040,2600862880,3906.1758460998535,35,cifar10,label,0.1,5,44
23,1.4252107290267944,0.5484,0.5442121058152676,0.9214243722222223,0.55,118221040,2719083920,3906.1758460998535,35,cifar10,label,0.1,5,44
24,1.485407518386841,0.55,0.518597037599894,0.9240633555555556,0.5511,118221040,2837304960,3906.1758460998535,35,cifar10,label,0.1,5,44
25,1.394398307609558,0.5511,0.5516708177820903,0.923377638888889,0.5435,118221040,2955526000,3906.1758460998535,35,cifar10,label,0.1,5,44
26,1.5340843620300293,0.5435,0.5105719300208306,0.9229644666666665,0.5527,118221040,3073747040,3906.1758460998535,35,cifar10,label,0.1,5,44
27,1.4154342142105103,0.5527,0.5484347647130601,0.9248562055555556,0.5068,118221040,3191968080,3906.1758460998535,35,cifar10,label,0.1,5,44
28,1.7717542251586913,0.5068,0.46044234237313536,0.9163021555555556,0.552,118221040,3310189120,3906.1758460998535,35,cifar10,label,0.1,5,44
29,1.479718514919281,0.552,0.5264268689906514,0.9236039555555555,0.4824,118221040,3428410160,3906.1758460998535,35,cifar10,label,0.1,5,44
30,1.9522249477386475,0.4824,0.42997758864394814,0.9112933944444445,0.5661,118221040,3546631200,3906.1758460998535,35,cifar10,label,0.1,5,44
31,1.397856126689911,0.5661,0.5384629557999757,0.9250023944444445,0.0,118221040,3664852240,3906.1758460998535,35,cifar10,label,0.1,5,44
