round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,local_epochs,seed
1,2.298709703063965,0.1475,0.09507755834796576,0.55260295,0.4874,118221040,118221040,4044.0742774009705,35,cifar10,quantity,0.1,5,43
2,1.4398513143539429,0.4874,0.47264224880009964,0.8819786722222223,0.3967,118221040,236442080,4044.0742774009705,35,cifar10,quantity,0.1,5,43
3,1.642323505973816,0.3967,0.39558097051115526,0.8872052555555555,0.3643,118221040,354663120,4044.0742774009705,35,cifar10,quantity,0.1,5,43
4,5.228167418670655,0.3643,0.31866335478656527,0.8418379333333332,0.1453,118221040,472884160,4044.0742774009705,35,cifar10,quantity,0.1,5,43
5,5.661461077880859,0.1453,0.05163997796855141,0.6176804222222223,0.1472,118221040,591105200,4044.0742774009705,35,cifar10,quantity,0.1,5,43
6,15.204631427001953,0.1472,0.08010432773679696,0.6601181611111112,0.115,118221040,709326240,4044.0742774009705,35,cifar10,quantity,0.1,5,43
7,29.32623805541992,0.115,0.04369622152018444,0.5561665833333334,0.1596,118221040,827547280,4044.0742774009705,35,cifar10,quantity,0.1,5,43
8,3.2129307136535643,0.1596,0.11124160272162065,0.5765818222222222,0.1023,118221040,945768320,4044.0742774009705,35,cifar10,quantity,0.1,5,43
9,2.303892597961426,0.1023,0.022862929735312267,0.5022172666666667,0.1859,118221040,1063989360,4044.0742774009705,35,cifar10,quantity,0.1,5,43
10,2.168030648803711,0.1859,0.13862587752559402,0.6161958888888889,0.5463,118221040,1182210400,4044.0742774009705,35,cifar10,quantity,0.1,5,43
11,1.454318848800659,0.5463,0.5410814558233676,0.9029505777777777,0.3504,118221040,1300431440,4044.0742774009705,35,cifar10,quantity,0.1,5,43
12,2.4267185337066652,0.3504,0.3055194715086659,0.8230472888888889,0.2424,118221040,1418652480,4044.0742774009705,35,cifar10,quantity,0.1,5,43
13,8.44790482559204,0.2424,0.15817846271549713,0.7430273277777777,0.1947,118221040,1536873520,4044.0742774009705,35,cifar10,quantity,0.1,5,43
14,6.042938343811035,0.1947,0.10974727596935012,0.694514538888889,0.2404,118221040,1655094560,4044.0742774009705,35,cifar10,quantity,0.1,5,43
15,3.7251898986816405,0.2404,0.16620527461824644,0.7437163444444443,0.3504,118221040,1773315600,4044.0742774009705,35,cifar10,quantity,0.1,5,43
16,2.5958350967407227,0.3504,0.31960588398609513,0.8137021944444445,0.233,118221040,1891536640,4044.0742774009705,35,cifar10,quantity,0.1,5,43
17,5.376823811340332,0.233,0.17139133048734262,0.7488458833333334,0.2781,118221040,2009757680,4044.0742774009705,35,cifar10,quantity,0.1,5,43
18,4.905221201324463,0.2781,0.20800282044705903,0.7736747611111111,0.2537,118221040,2127978720,4044.0742774009705,35,cifar10,quantity,0.1,5,43
19,4.109035313415528,0.2537,0.16545978013726886,0.7521267444444445,0.2587,118221040,2246199760,4044.0742774009705,35,cifar10,quantity,0.1,5,43
20,6.488099932098389,0.2587,0.2022007366195681,0.7575289222222222,0.1748,118221040,2364420800,4044.0742774009705,35,cifar10,quantity,0.1,5,43
21,7.393949199676514,0.1748,0.10298804479632692,0.6389315888888889,0.1577,118221040,2482641840,4044.0742774009705,35,cifar10,quantity,0.1,5,43
22,13.538400607299804,0.1577,0.08688002535306054,0.62291575,0.1094,118221040,2600862880,4044.0742774009705,35,cifar10,quantity,0.1,5,43
23,5.008478565216064,0.1094,0.04006029576720784,0.5237692388888888,0.1895,118221040,2719083920,4044.0742774009705,35,cifar10,quantity,0.1,5,43
24,3.289561828994751,0.1895,0.14968104223970738,0.6986784555555554,0.3036,118221040,2837304960,4044.0742774009705,35,cifar10,quantity,0.1,5,43
25,2.5614774131774904,0.3036,0.2791288867268585,0.8006046277777777,0.1219,118221040,2955526000,4044.0742774009705,35,cifar10,quantity,0.1,5,43
26,14.505284902954102,0.1219,0.053056293229204535,0.6272157111111112,0.1619,118221040,3073747040,4044.0742774009705,35,cifar10,quantity,0.1,5,43
27,10.081942538452148,0.1619,0.1133818117212668,0.6181306333333334,0.1412,118221040,3191968080,4044.0742774009705,35,cifar10,quantity,0.1,5,43
28,12.927005435180664,0.1412,0.07586412129548488,0.5861316000000001,0.215,118221040,3310189120,4044.0742774009705,35,cifar10,quantity,0.1,5,43
29,3.8806105575561523,0.215,0.1672028063662257,0.6711959000000001,0.1961,118221040,3428410160,4044.0742774009705,35,cifar10,quantity,0.1,5,43
30,2.7843540473937987,0.1961,0.14257365968706512,0.6526476500000001,0.1708,118221040,3546631200,4044.0742774009705,35,cifar10,quantity,0.1,5,43
31,5.663155177307129,0.1708,0.13117666735500524,0.6431818222222223,0.0,118221040,3664852240,4044.0742774009705,35,cifar10,quantity,0.1,5,43
