round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,proximal_mu,local_epochs,batch_size,seed
1,2.301845955276489,0.0893,0.04861367622650547,0.5350526888888889,0.1,118221040,118221040,3653.410724401474,35,cifar10,label,0.1,0.01,5,64,44
2,2.255529473876953,0.1,0.01818181818181818,0.7543055333333333,0.2434,118221040,236442080,3653.410724401474,35,cifar10,label,0.1,0.01,5,64,44
3,2.0215802433013916,0.2434,0.1729491481267771,0.8134756,0.2485,118221040,354663120,3653.410724401474,35,cifar10,label,0.1,0.01,5,64,44
4,1.8936244619369507,0.2485,0.18225356972738085,0.8287289833333332,0.3969,118221040,472884160,3653.410724401474,35,cifar10,label,0.1,0.01,5,64,44
5,1.7076468408584595,0.3969,0.36868351362272483,0.8549635722222222,0.3698,118221040,591105200,3653.410724401474,35,cifar10,label,0.1,0.01,5,64,44
6,1.6926237148284913,0.3698,0.342125747276811,0.8550034722222222,0.4583,118221040,709326240,3653.410724401474,35,cifar10,label,0.1,0.01,5,64,44
7,1.5446108081817627,0.4583,0.44554786615208924,0.8755394277777778,0.4303,118221040,827547280,3653.410724401474,35,cifar10,label,0.1,0.01,5,64,44
8,1.568307841682434,0.4303,0.41584420213866613,0.87150345,0.4853,118221040,945768320,3653.410724401474,35,cifar10,label,0.1,0.01,5,64,44
9,1.444999390602112,0.4853,0.47827024199279433,0.8872415388888889,0.4586,118221040,1063989360,3653.410724401474,35,cifar10,label,0.1,0.01,5,64,44
10,1.4866509325027466,0.4586,0.44400408472066283,0.8824510055555557,0.5044,118221040,1182210400,3653.410724401474,35,cifar10,label,0.1,0.01,5,64,44
11,1.371056774520874,0.5044,0.5006755793926809,0.8958901777777779,0.4828,118221040,1300431440,3653.410724401474,35,cifar10,label,0.1,0.01,5,64,44
12,1.420840675354004,0.4828,0.46611998230160134,0.8914293666666666,0.5276,118221040,1418652480,3653.410724401474,35,cifar10,label,0.1,0.01,5,64,44
13,1.3144339778900147,0.5276,0.5261635655893362,0.90303495,0.5022,118221040,1536873520,3653.410724401474,35,cifar10,label,0.1,0.01,5,64,44
14,1.372830246925354,0.5022,0.4846730125608464,0.8983274333333334,0.5431,118221040,1655094560,3653.410724401474,35,cifar10,label,0.1,0.01,5,64,44
15,1.2677880346298218,0.5431,0.543373450325883,0.9088490111111112,0.5211,118221040,1773315600,3653.410724401474,35,cifar10,label,0.1,0.01,5,64,44
16,1.33272468624115,0.5211,0.5038543691441798,0.9039356833333333,0.5537,118221040,1891536640,3653.410724401474,35,cifar10,label,0.1,0.01,5,64,44
17,1.2326726005554198,0.5537,0.5543078343101656,0.9132325555555555,0.5338,118221040,2009757680,3653.410724401474,35,cifar10,label,0.1,0.01,5,64,44
18,1.3072132028579713,0.5338,0.5180528017798647,0.9081466055555556,0.5671,118221040,2127978720,3653.410724401474,35,cifar10,label,0.1,0.01,5,64,44
19,1.203109049987793,0.5671,0.567597318169595,0.9166846388888888,0.5439,118221040,2246199760,3653.410724401474,35,cifar10,label,0.1,0.01,5,64,44
20,1.2831182598114013,0.5439,0.5293238736343906,0.9116782555555556,0.5757,118221040,2364420800,3653.410724401474,35,cifar10,label,0.1,0.01,5,64,44
21,1.183077640724182,0.5757,0.574870924411666,0.9190631111111112,0.5577,118221040,2482641840,3653.410724401474,35,cifar10,label,0.1,0.01,5,64,44
22,1.253173266029358,0.5577,0.5459711706707295,0.9149995444444444,0.5846,118221040,2600862880,3653.410724401474,35,cifar10,label,0.1,0.01,5,64,44
23,1.1733619606018066,0.5846,0.5829618301774906,0.9207180333333334,0.5668,118221040,2719083920,3653.410724401474,35,cifar10,label,0.1,0.01,5,64,44
24,1.2368324151992798,0.5668,0.5568642326952818,0.9173491888888888,0.5883,118221040,2837304960,3653.410724401474,35,cifar10,label,0.1,0.01,5,64,44
25,1.1712620208740234,0.5883,0.5851587655606025,0.9218619333333333,0.5753,118221040,2955526000,3653.410724401474,35,cifar10,label,0.1,0.01,5,64,44
26,1.2250396255493163,0.5753,0.5671864795511343,0.9190636666666666,0.5901,118221040,3073747040,3653.410724401474,35,cifar10,label,0.1,0.01,5,64,44
27,1.170640394973755,0.5901,0.5859795558231504,0.9224893777777778,0.5852,118221040,3191968080,3653.410724401474,35,cifar10,label,0.1,0.01,5,64,44
28,1.209868977546692,0.5852,0.5786018454262364,0.9207059611111109,0.594,118221040,3310189120,3653.410724401474,35,cifar10,label,0.1,0.01,5,64,44
29,1.1728975095748901,0.594,0.589514863700787,0.9229588388888889,0.5906,118221040,3428410160,3653.410724401474,35,cifar10,label,0.1,0.01,5,64,44
30,1.2067436738967896,0.5906,0.584602202947045,0.9217744166666668,0.598,118221040,3546631200,3653.410724401474,35,cifar10,label,0.1,0.01,5,64,44
31,1.1817890285491943,0.598,0.5931457054518969,0.9233220888888891,0.0,118221040,3664852240,3653.410724401474,35,cifar10,label,0.1,0.01,5,64,44
