round,global_loss,global_accuracy,f1_score,auc,worst_client_acc,round_traffic_bytes,total_traffic_bytes,total_runtime,num_clients,dataset,skew_type,alpha,proximal_mu,local_epochs,batch_size,seed
1,2.29947508392334,0.1045,0.036501414715106956,0.5703879277777778,0.3643,118221040,118221040,3052.862760066986,35,cifar10,quantity,0.1,0.01,5,64,46
2,1.8499404260635377,0.3643,0.34585413414669053,0.8127552777777778,0.4549,118221040,236442080,3052.862760066986,35,cifar10,quantity,0.1,0.01,5,64,46
3,1.5199964534759522,0.4549,0.4509689973579338,0.8671115333333332,0.5055,118221040,354663120,3052.862760066986,35,cifar10,quantity,0.1,0.01,5,64,46
4,1.3798527111053467,0.5055,0.5030003969874661,0.8894971166666666,0.5414,118221040,472884160,3052.862760066986,35,cifar10,quantity,0.1,0.01,5,64,46
5,1.307091104888916,0.5414,0.5390952431799858,0.9009140111111111,0.5682,118221040,591105200,3052.862760066986,35,cifar10,quantity,0.1,0.01,5,64,46
6,1.253906991958618,0.5682,0.5655756874083829,0.9094411222222222,0.5828,118221040,709326240,3052.862760066986,35,cifar10,quantity,0.1,0.01,5,64,46
7,1.2489986347198487,0.5828,0.579421172342167,0.914419388888889,0.5903,118221040,827547280,3052.862760066986,35,cifar10,quantity,0.1,0.01,5,64,46
8,1.2821385711669921,0.5903,0.5879412465974708,0.9171169888888888,0.5916,118221040,945768320,3052.862760066986,35,cifar10,quantity,0.1,0.01,5,64,46
9,1.3621792016983032,0.5916,0.5887436886069659,0.9160962277777778,0.597,118221040,1063989360,3052.862760066986,35,cifar10,quantity,0.1,0.01,5,64,46
10,1.4564400310516357,0.597,0.5948490493443209,0.9179752111111112,0.6038,118221040,1182210400,3052.862760066986,35,cifar10,quantity,0.1,0.01,5,64,46
11,1.495975026512146,0.6038,0.6002578935706465,0.9202289944444445,0.6024,118221040,1300431440,3052.862760066986,35,cifar10,quantity,0.1,0.01,5,64,46
12,1.5423356101989747,0.6024,0.598028038967825,0.9198349888888888,0.6055,118221040,1418652480,3052.862760066986,35,cifar10,quantity,0.1,0.01,5,64,46
13,1.6081014850616455,0.6055,0.6004260824238836,0.9201439277777779,0.6069,118221040,1536873520,3052.862760066986,35,cifar10,quantity,0.1,0.01,5,64,46
14,1.6773348091125488,0.6069,0.6052170223429362,0.9210985333333334,0.6091,118221040,1655094560,3052.862760066986,35,cifar10,quantity,0.1,0.01,5,64,46
15,1.6973701297760009,0.6091,0.606154082157554,0.9203844333333334,0.6073,118221040,1773315600,3052.862760066986,35,cifar10,quantity,0.1,0.01,5,64,46
16,1.7824249881744385,0.6073,0.6063293995414667,0.9212128000000002,0.6107,118221040,1891536640,3052.862760066986,35,cifar10,quantity,0.1,0.01,5,64,46
17,1.8339565196990968,0.6107,0.6086768811696818,0.9222821722222221,0.6128,118221040,2009757680,3052.862760066986,35,cifar10,quantity,0.1,0.01,5,64,46
18,1.8672690845489501,0.6128,0.610668146693552,0.9220594666666667,0.6144,118221040,2127978720,3052.862760066986,35,cifar10,quantity,0.1,0.01,5,64,46
19,1.8964722434997558,0.6144,0.6134749943763361,0.9222416888888889,0.6165,118221040,2246199760,3052.862760066986,35,cifar10,quantity,0.1,0.01,5,64,46
20,1.9704620246887208,0.6165,0.6141950696600958,0.9228629555555555,0.6146,118221040,2364420800,3052.862760066986,35,cifar10,quantity,0.1,0.01,5,64,46
21,2.013365124130249,0.6146,0.6127142998937086,0.9226297000000001,0.6144,118221040,2482641840,3052.862760066986,35,cifar10,quantity,0.1,0.01,5,64,46
22,2.0453151809692383,0.6144,0.6123140857629589,0.9223706666666667,0.6168,118221040,2600862880,3052.862760066986,35,cifar10,quantity,0.1,0.01,5,64,46
23,2.065130860900879,0.6168,0.6155389424062665,0.9226512944444444,0.6149,118221040,2719083920,3052.862760066986,35,cifar10,quantity,0.1,0.01,5,64,46
24,2.0858762882232664,0.6149,0.6125371277516486,0.9222111777777778,0.615,118221040,2837304960,3052.862760066986,35,cifar10,quantity,0.1,0.01,5,64,46
25,2.114116773223877,0.615,0.6129452149130425,0.9222153888888889,0.6133,118221040,2955526000,3052.862760066986,35,cifar10,quantity,0.1,0.01,5,64,46
26,2.0470759269714356,0.6133,0.6112208790447051,0.9219641722222223,0.6155,118221040,3073747040,3052.862760066986,35,cifar10,quantity,0.1,0.01,5,64,46
27,2.1179798877716065,0.6155,0.6132752703330209,0.9221432611111112,0.6169,118221040,3191968080,3052.862760066986,35,cifar10,quantity,0.1,0.01,5,64,46
28,2.1333597736358643,0.6169,0.6149874487858373,0.9220916833333334,0.6158,118221040,3310189120,3052.862760066986,35,cifar10,quantity,0.1,0.01,5,64,46
29,2.184883642578125,0.6158,0.6143418353715189,0.9219633333333335,0.6139,118221040,3428410160,3052.862760066986,35,cifar10,quantity,0.1,0.01,5,64,46
30,2.2114012741088866,0.6139,0.6113010038777862,0.9216952055555556,0.6175,118221040,3546631200,3052.862760066986,35,cifar10,quantity,0.1,0.01,5,64,46
31,2.2194173370361328,0.6175,0.6161926875432899,0.9220632555555557,0.0,118221040,3664852240,3052.862760066986,35,cifar10,quantity,0.1,0.01,5,64,46
