algorithm,skew_type,alpha,final_accuracy (mean±std),best_accuracy (mean±std),final_f1 (mean±std),final_auc (mean±std),final_worst_client_acc (mean±std)
fedavg,label,0.1,0.5644 ± 0.0268,0.5705 ± 0.0217,0.5454 ± 0.0298,0.9127 ± 0.0082,0.5638 ± 0.0287
fedavg,label,0.3,0.6499 ± 0.0108,0.6529 ± 0.0105,0.6476 ± 0.0099,0.9386 ± 0.0034,0.6497 ± 0.0108
fedavg,label,0.5,0.6697 ± 0.0101,0.6704 ± 0.0107,0.6654 ± 0.0093,0.9445 ± 0.0020,0.6694 ± 0.0104
fedavg,quantity,0.1,0.6934 ± 0.0347,0.7122 ± 0.0341,0.6928 ± 0.0341,0.9472 ± 0.0115,0.6966 ± 0.0341
fedavg,quantity,0.3,0.6910 ± 0.0200,0.7036 ± 0.0210,0.6906 ± 0.0201,0.9471 ± 0.0062,0.6915 ± 0.0194
fedavg,quantity,0.5,0.6989 ± 0.0106,0.7036 ± 0.0100,0.6969 ± 0.0114,0.9498 ± 0.0027,0.6976 ± 0.0106
fednova,label,0.1,0.5436 ± 0.0603,0.5602 ± 0.0437,0.5266 ± 0.0657,0.9125 ± 0.0139,0.5219 ± 0.0825
fednova,label,0.3,0.6451 ± 0.0152,0.6462 ± 0.0151,0.6420 ± 0.0153,0.9368 ± 0.0057,0.6434 ± 0.0176
fednova,label,0.5,0.6760 ± 0.0089,0.6762 ± 0.0092,0.6708 ± 0.0085,0.9467 ± 0.0025,0.6759 ± 0.0095
fednova,quantity,0.1,0.1507 ± 0.0890,0.3251 ± 0.0744,0.0738 ± 0.0916,0.5954 ± 0.1284,0.1279 ± 0.0473
fednova,quantity,0.3,0.2106 ± 0.0606,0.3548 ± 0.0374,0.1333 ± 0.0767,0.7130 ± 0.0635,0.2089 ± 0.1230
fednova,quantity,0.5,0.1779 ± 0.0231,0.3823 ± 0.0392,0.1144 ± 0.0231,0.7129 ± 0.0450,0.1941 ± 0.0657
fedprox,label,0.1,0.6197 ± 0.0314,0.6202 ± 0.0319,0.6083 ± 0.0424,0.9299 ± 0.0111,0.6190 ± 0.0315
fedprox,label,0.3,0.6661 ± 0.0112,0.6684 ± 0.0095,0.6618 ± 0.0110,0.9444 ± 0.0019,0.6686 ± 0.0077
fedprox,label,0.5,0.6752 ± 0.0075,0.6885 ± 0.0065,0.6719 ± 0.0081,0.9455 ± 0.0022,0.6735 ± 0.0079
fedprox,quantity,0.1,0.6906 ± 0.0515,0.6962 ± 0.0494,0.6902 ± 0.0518,0.9469 ± 0.0169,0.6936 ± 0.0503
fedprox,quantity,0.3,0.7092 ± 0.0131,0.7133 ± 0.0121,0.7086 ± 0.0132,0.9529 ± 0.0039,0.7094 ± 0.0143
fedprox,quantity,0.5,0.7247 ± 0.0097,0.7259 ± 0.0101,0.7238 ± 0.0097,0.9571 ± 0.0029,0.7230 ± 0.0095
