algorithm,skew_type,num_clients,final_accuracy (mean±std),best_accuracy (mean±std),final_auc (mean±std),final_worst_client_acc (mean±std)
fedavg,label,10,0.5091 ± 0.0723,0.5141 ± 0.0691,0.8962 ± 0.0236,0.5041 ± 0.0693
fedavg,label,25,0.5240 ± 0.0652,0.5320 ± 0.0616,0.9008 ± 0.0174,0.5269 ± 0.0641
fedavg,label,35,0.5644 ± 0.0268,0.5705 ± 0.0217,0.9127 ± 0.0082,0.5638 ± 0.0287
fedavg,quantity,10,0.6349 ± 0.1576,0.6521 ± 0.1628,0.9180 ± 0.0707,0.6317 ± 0.1609
fedavg,quantity,25,0.6518 ± 0.1033,0.6599 ± 0.1104,0.9304 ± 0.0379,0.6480 ± 0.1021
fedavg,quantity,35,0.6934 ± 0.0347,0.7122 ± 0.0341,0.9472 ± 0.0115,0.6966 ± 0.0341
fednova,label,10,0.5369 ± 0.0427,0.5456 ± 0.0443,0.8981 ± 0.0148,0.5389 ± 0.0480
fednova,label,25,0.3959 ± 0.1618,0.4757 ± 0.1095,0.8648 ± 0.0601,0.4488 ± 0.1312
fednova,label,35,0.5436 ± 0.0603,0.5602 ± 0.0437,0.9125 ± 0.0139,0.5219 ± 0.0825
fednova,quantity,10,0.2584 ± 0.2048,0.4371 ± 0.1415,0.6908 ± 0.1762,0.2374 ± 0.2040
fednova,quantity,25,0.2161 ± 0.0499,0.3751 ± 0.0628,0.7136 ± 0.0365,0.2119 ± 0.0365
fednova,quantity,35,0.1507 ± 0.0890,0.3251 ± 0.0744,0.5954 ± 0.1284,0.1279 ± 0.0473
fedprox,label,10,0.5811 ± 0.0337,0.5870 ± 0.0398,0.9220 ± 0.0090,0.5878 ± 0.0365
fedprox,label,25,0.6135 ± 0.0286,0.6137 ± 0.0289,0.9297 ± 0.0084,0.6118 ± 0.0277
fedprox,label,35,0.6197 ± 0.0314,0.6202 ± 0.0319,0.9299 ± 0.0111,0.6190 ± 0.0315
fedprox,quantity,10,0.6447 ± 0.1590,0.6487 ± 0.1599,0.9234 ± 0.0696,0.6426 ± 0.1606
fedprox,quantity,25,0.7140 ± 0.0222,0.7187 ± 0.0221,0.9541 ± 0.0081,0.7124 ± 0.0215
fedprox,quantity,35,0.6906 ± 0.0515,0.6962 ± 0.0494,0.9469 ± 0.0169,0.6936 ± 0.0503
