algorithm,skew_type,local_epochs,final_accuracy (mean±std),best_accuracy (mean±std),final_f1 (mean±std),final_auc (mean±std),final_worst_client_acc (mean±std)
fedavg,label,1,0.4776 ± 0.0535,0.4776 ± 0.0535,0.4362 ± 0.0652,0.8956 ± 0.0080,0.4822 ± 0.0532
fedavg,label,5,0.5644 ± 0.0268,0.5705 ± 0.0217,0.5454 ± 0.0298,0.9127 ± 0.0082,0.5638 ± 0.0287
fedavg,label,10,0.5908 ± 0.0159,0.5920 ± 0.0166,0.5780 ± 0.0191,0.9197 ± 0.0069,0.5911 ± 0.0165
fedavg,quantity,1,0.6807 ± 0.0268,0.6980 ± 0.0266,0.6802 ± 0.0261,0.9476 ± 0.0076,0.6801 ± 0.0282
fedavg,quantity,5,0.6934 ± 0.0347,0.7122 ± 0.0341,0.6928 ± 0.0341,0.9472 ± 0.0115,0.6966 ± 0.0341
fedavg,quantity,10,0.6883 ± 0.0375,0.7061 ± 0.0403,0.6880 ± 0.0383,0.9447 ± 0.0119,0.6854 ± 0.0381
fednova,label,1,0.3898 ± 0.0790,0.3934 ± 0.0752,0.3448 ± 0.0869,0.8723 ± 0.0176,0.3898 ± 0.0790
fednova,label,5,0.5219 ± 0.0825,0.5602 ± 0.0437,0.4940 ± 0.0958,0.9104 ± 0.0160,0.5219 ± 0.0825
fednova,label,10,0.4502 ± 0.1948,0.5294 ± 0.1073,0.4339 ± 0.2094,0.8757 ± 0.0706,0.4502 ± 0.1948
fednova,quantity,1,0.2572 ± 0.1339,0.3961 ± 0.1032,0.1982 ± 0.1472,0.7612 ± 0.1097,0.2572 ± 0.1339
fednova,quantity,5,0.1279 ± 0.0473,0.3251 ± 0.0744,0.0479 ± 0.0457,0.5700 ± 0.0857,0.1279 ± 0.0473
fednova,quantity,10,0.1717 ± 0.0760,0.3806 ± 0.0750,0.0962 ± 0.0850,0.6260 ± 0.1012,0.1717 ± 0.0760
fedprox,label,1,0.5088 ± 0.0399,0.5088 ± 0.0399,0.4727 ± 0.0427,0.9022 ± 0.0097,0.5088 ± 0.0399
fedprox,label,5,0.6190 ± 0.0315,0.6203 ± 0.0319,0.6073 ± 0.0424,0.9299 ± 0.0111,0.6190 ± 0.0315
fedprox,label,10,0.6044 ± 0.0422,0.6054 ± 0.0415,0.5899 ± 0.0475,0.9262 ± 0.0110,0.6044 ± 0.0422
fedprox,quantity,1,0.6780 ± 0.0211,0.6894 ± 0.0088,0.6766 ± 0.0195,0.9474 ± 0.0050,0.6780 ± 0.0211
fedprox,quantity,5,0.6936 ± 0.0503,0.6965 ± 0.0499,0.6923 ± 0.0511,0.9471 ± 0.0168,0.6936 ± 0.0503
fedprox,quantity,10,0.7238 ± 0.0129,0.7303 ± 0.0138,0.7234 ± 0.0124,0.9568 ± 0.0033,0.7238 ± 0.0129
